id,utc,hypothesis,change,code_hash,configuration,seed_role,seed_set,command,result,adopted
D_progress_dev30_cap4,2026-09-12T08:53:27.506194+00:00,Avoid premature search-localization switches,max_tasks_before_search=4,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,D_progress4.json,development,400001-400030,"python code/experiment.py --phase D_progress_dev30 --variants {""H0"": ""H0.json"", ""cap1"": ""D_progress1.json"", ""cap4"": ""D_progress4.json"", ""cap8"": ""D_progress8.json""} --start 400001 --count 30 --role development","{""phase"": ""D_progress_dev30"", ""baseline"": ""H0"", ""candidate"": ""cap4"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 509.38825753601674, ""improvement_percent"": 4.477557814183428, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 7572.972618549999, ""p95_change_percent"": -4.739580361112939, ""bootstrap_improvement_95_percent"": [2.698472497013671, 6.147030230592341], ""faster"": 24, ""slower"": 4, ""gate_passed"": true}",development_pass_not_selected
D_progress_dev30_cap8,2026-09-12T08:53:27.621183+00:00,Avoid premature search-localization switches,max_tasks_before_search=8,8469efdc6d4bdcbf8b1b856bf5702fee96230f8616b5c8a7abca2e0556e442cd,D_progress8.json,development,400001-400030,"python code/experiment.py --phase D_progress_dev30 --variants {""H0"": ""H0.json"", ""cap1"": ""D_progress1.json"", ""cap4"": ""D_progress4.json"", ""cap8"": ""D_progress8.json""} --start 400001 --count 30 --role development","{""phase"": ""D_progress_dev30"", ""baseline"": ""H0"", ""candidate"": ""cap8"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 533.2655299422946, ""mean_per_source_candidate"": 509.2498244566914, ""improvement_percent"": 4.5035173168237606, ""p95_baseline"": 7949.7577769, ""p95_candidate"": 7472.2057397, ""p95_change_percent"": -6.007126891182102, ""bootstrap_improvement_95_percent"": [2.84028532405951, 6.120125511104961], ""faster"": 24, ""slower"": 4, ""gate_passed"": true}",validation_pending
D8_validation100_D8,2026-09-12T09:02:11.974107+00:00,Validate fewer forced search interruptions,max_tasks_before_search=8,2c89db2876ab61d46272f4158aad5f444a9af04983bdc4d359a4d0f0d631d525,D_progress8.json,validation,410101-410200,"python code/experiment.py --phase D8_validation100 --variants {""H0"": ""H0.json"", ""D8"": ""D_progress8.json""} --start 410101 --count 100 --role validation --replay","{""phase"": ""D8_validation100"", ""baseline"": ""H0"", ""candidate"": ""D8"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 574.5437991125782, ""mean_per_source_candidate"": 545.1730541716054, ""improvement_percent"": 5.112011475250091, ""p95_baseline"": 8148.460006849999, ""p95_candidate"": 7552.71795485, ""p95_change_percent"": -7.311099907211782, ""bootstrap_improvement_95_percent"": [4.122769789657533, 6.092926739244977], ""faster"": 90, ""slower"": 6, ""gate_passed"": true}",adopted
E_pair_dev30_E_pair,2026-09-12T09:11:43.152227+00:00,Rank paired probes by two-action residual time,Finite feedback-conditioned pair geometry ranking,7aceb742bb5156b6e3a25c627cb33dbeb0f097057985ac888cca5b910546d1b0,D8_E_pair.json,development,400001-400030,"python code/experiment.py --phase E_pair_dev30 --variants {""D8"": ""D_progress8.json"", ""E_pair"": ""D8_E_pair.json""} --start 400001 --count 30 --role development","{""phase"": ""E_pair_dev30"", ""baseline"": ""D8"", ""candidate"": ""E_pair"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 509.2498244566914, ""mean_per_source_candidate"": 486.6943974108629, ""improvement_percent"": 4.4291477311538445, ""p95_baseline"": 7472.2057397, ""p95_candidate"": 7397.780302149999, ""p95_change_percent"": -0.9960303576034613, ""bootstrap_improvement_95_percent"": [2.7488821617184622, 6.305195956548069], ""faster"": 24, ""slower"": 6, ""gate_passed"": true}",development_pass
E_shared_dev30_E_shared,2026-09-12T09:11:43.307228+00:00,Use reached search stations for known-source information,Finite-model shared RF with no-signal branch and cost,7aceb742bb5156b6e3a25c627cb33dbeb0f097057985ac888cca5b910546d1b0,D8_E_shared.json,development,400001-400030,"python code/experiment.py --phase E_shared_dev30 --variants {""D8"": ""D_progress8.json"", ""E_shared"": ""D8_E_shared.json""} --start 400001 --count 30 --role development","{""phase"": ""E_shared_dev30"", ""baseline"": ""D8"", ""candidate"": ""E_shared"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 509.2498244566914, ""mean_per_source_candidate"": 473.0263295965368, ""improvement_percent"": 7.113108953704738, ""p95_baseline"": 7472.2057397, ""p95_candidate"": 7196.541156099999, ""p95_change_percent"": -3.689199591164738, ""bootstrap_improvement_95_percent"": [6.0020135341915655, 8.191278266433317], ""faster"": 30, ""slower"": 0, ""gate_passed"": true}",development_pass
E_interaction_dev30_E_combo,2026-09-12T09:18:25.730229+00:00,Pair lookahead resolves shared-bearing residual regions,Add pair ranking to shared-bearing policy,5ae162ef11b89b783f5693059ec6bf3b03d8d092f5a1b551dec7c0ff40fd3abb,E_combo.json,development,400001-400030,"python code/experiment.py --phase E_interaction_dev30 --variants {""E_pair"": ""D8_E_pair.json"", ""E_shared"": ""D8_E_shared.json"", ""E_combo"": ""E_combo.json""} --start 400001 --count 30 --role development","{""phase"": ""E_interaction_dev30"", ""baseline"": ""E_shared"", ""candidate"": ""E_combo"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 473.0263295965368, ""mean_per_source_candidate"": 456.9906209119704, ""improvement_percent"": 3.390024546465295, ""p95_baseline"": 7196.541156099999, ""p95_candidate"": 6853.932356649999, ""p95_change_percent"": -4.7607425847845715, ""bootstrap_improvement_95_percent"": [2.458978235783385, 4.354270346641055], ""faster"": 26, ""slower"": 4, ""gate_passed"": true}",validation_pending
E_interaction_dev30_E_combo,2026-09-12T09:18:25.852718+00:00,Shared RF cuts future localization trips,Add shared-bearing at reached search stations,5ae162ef11b89b783f5693059ec6bf3b03d8d092f5a1b551dec7c0ff40fd3abb,E_combo.json,development,400001-400030,"python code/experiment.py --phase E_interaction_dev30 --variants {""E_pair"": ""D8_E_pair.json"", ""E_shared"": ""D8_E_shared.json"", ""E_combo"": ""E_combo.json""} --start 400001 --count 30 --role development","{""phase"": ""E_interaction_dev30"", ""baseline"": ""E_pair"", ""candidate"": ""E_combo"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 486.6943974108629, ""mean_per_source_candidate"": 456.9906209119704, ""improvement_percent"": 6.103167954451892, ""p95_baseline"": 7397.780302149999, ""p95_candidate"": 6853.932356649999, ""p95_change_percent"": -7.351501711154407, ""bootstrap_improvement_95_percent"": [4.502600674365985, 7.603634578646455], ""faster"": 28, ""slower"": 2, ""gate_passed"": true}",development_pass
E_COMBO_validation100_E_combo,2026-09-12T09:30:29.607802+00:00,Validate pair/shared combination against incumbent,Two separately screened information-planning improvements,83021bf37b98251d69f8b37446c9ebe66a1077def34095f0f0825c7a1572b660,E_combo.json,validation,410201-410300,"python code/experiment.py --phase E_COMBO_validation100 --variants {""H0"": ""H0.json"", ""D8"": ""D_progress8.json"", ""E_combo"": ""E_combo.json""} --start 410201 --count 100 --role validation --replay","{""phase"": ""E_COMBO_validation100"", ""baseline"": ""D8"", ""candidate"": ""E_combo"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 557.9167979425123, ""mean_per_source_candidate"": 499.45487672796844, ""improvement_percent"": 10.478609253232731, ""p95_baseline"": 7609.26876715, ""p95_candidate"": 6805.5169326, ""p95_change_percent"": -10.562799910812458, ""bootstrap_improvement_95_percent"": [9.602923181930823, 11.389760261518914], ""faster"": 98, ""slower"": 2, ""gate_passed"": true}",adopted
B_shape_dev30_inner950,2026-09-12T09:43:05.739300+00:00,Improve complete-task time by changing certified search skeleton,Search skeleton geometry only,bf84a287d2f6ff7e82793fdf3451e988925e77a2e8a5043e23a5d6aff2a05e67,B_inner950.json,development,400031-400060,"python code/experiment.py --phase B_shape_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner950"": ""B_inner950.json"", ""outer1860"": ""B_outer1860.json"", ""outerphase"": ""B_outerphase.json"", ""A22"": ""A22_combo.json""} --start 400031 --count 30 --role development","{""phase"": ""B_shape_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""inner950"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 467.0675365795588, ""improvement_percent"": -0.6813859810804477, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6799.81133325, ""p95_change_percent"": 0.07738428749757276, ""bootstrap_improvement_95_percent"": [-2.912072632642095, 1.3464233461005553], ""faster"": 16, ""slower"": 14, ""gate_passed"": false}",rejected
B_shape_dev30_outer1860,2026-09-12T09:43:07.886109+00:00,Improve complete-task time by changing certified search skeleton,Search skeleton geometry only,bf84a287d2f6ff7e82793fdf3451e988925e77a2e8a5043e23a5d6aff2a05e67,B_outer1860.json,development,400031-400060,"python code/experiment.py --phase B_shape_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner950"": ""B_inner950.json"", ""outer1860"": ""B_outer1860.json"", ""outerphase"": ""B_outerphase.json"", ""A22"": ""A22_combo.json""} --start 400031 --count 30 --role development","{""phase"": ""B_shape_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""outer1860"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 469.96424193060454, ""improvement_percent"": -1.3058016954712923, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6695.0165412999995, ""p95_change_percent"": -1.4649509555445306, ""bootstrap_improvement_95_percent"": [-2.799516396005575, -0.09912458806921583], ""faster"": 6, ""slower"": 23, ""gate_passed"": false}",rejected
B_shape_dev30_outerphase,2026-09-12T09:43:10.032683+00:00,Improve complete-task time by changing certified search skeleton,Search skeleton geometry only,bf84a287d2f6ff7e82793fdf3451e988925e77a2e8a5043e23a5d6aff2a05e67,B_outerphase.json,development,400031-400060,"python code/experiment.py --phase B_shape_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner950"": ""B_inner950.json"", ""outer1860"": ""B_outer1860.json"", ""outerphase"": ""B_outerphase.json"", ""A22"": ""A22_combo.json""} --start 400031 --count 30 --role development","{""phase"": ""B_shape_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""outerphase"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 475.46422370785353, ""improvement_percent"": -2.491381391845226, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6844.7401961, ""p95_change_percent"": 0.7386324975843905, ""bootstrap_improvement_95_percent"": [-5.1238111660334935, -0.4464385737454641], ""faster"": 10, ""slower"": 20, ""gate_passed"": false}",rejected
B_shape_dev30_A22,2026-09-12T09:43:12.037801+00:00,Improve complete-task time by changing certified search skeleton,Search skeleton geometry only,bf84a287d2f6ff7e82793fdf3451e988925e77a2e8a5043e23a5d6aff2a05e67,A22_combo.json,development,400031-400060,"python code/experiment.py --phase B_shape_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner950"": ""B_inner950.json"", ""outer1860"": ""B_outer1860.json"", ""outerphase"": ""B_outerphase.json"", ""A22"": ""A22_combo.json""} --start 400031 --count 30 --role development","{""phase"": ""B_shape_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""A22"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 463.9824881048611, ""improvement_percent"": -0.016370898837676003, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6718.4623242, ""p95_change_percent"": -1.1198836426132064, ""bootstrap_improvement_95_percent"": [-2.7710393861287352, 2.311912814734568], ""faster"": 17, ""slower"": 13, ""gate_passed"": false}",rejected
E_all_stops_dev30_E_all_stops,2026-09-12T09:52:02.604491+00:00,More reached positions can replace future localization RF,Share after every actual localization/clear stop,c40eb863d152070ff77d70eef9e2fc93109a127527039352f11446d465ca5e38,E_all_stops.json,development,400031-400060,"python code/experiment.py --phase E_all_stops_dev30 --variants {""E_combo"": ""E_combo.json"", ""E_all_stops"": ""E_all_stops.json""} --start 400031 --count 30 --role development --replay","{""phase"": ""E_all_stops_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""E_all_stops"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 466.6990525195094, ""improvement_percent"": -0.6019553142663969, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6620.08045175, ""p95_change_percent"": -2.5678356479810316, ""bootstrap_improvement_95_percent"": [-2.486615281639405, 0.9725331045310524], ""faster"": 16, ""slower"": 14, ""gate_passed"": false}",rejected
D_local_decisions_dev30_history,2026-09-12T10:02:58.243232+00:00,Test whether the local decision change reduces full-task time,Rank pairs from the three latest positive stations,d65bd34802cf4c1df2a8864a53dcf3d2299b9730fc9be195cf891afaa102b420,D_history.json,development,400031-400060,"python code/experiment.py --phase D_local_decisions_dev30 --variants {""E_combo"": ""E_combo.json"", ""history"": ""D_history.json"", ""orders"": ""D_orders.json"", ""replan"": ""D_replan.json"", ""opt40"": ""D_opt40.json""} --start 400031 --count 30 --role development","{""phase"": ""D_local_decisions_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""history"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 462.847193829474, ""improvement_percent"": 0.2283538833200063, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6779.4236098, ""p95_change_percent"": -0.22267551334953506, ""bootstrap_improvement_95_percent"": [0.0924951958774209, 0.36503661207684096], ""faster"": 24, ""slower"": 6, ""gate_passed"": false}",rejected: development improvement below 1 percent
D_local_decisions_dev30_orders,2026-09-12T10:02:58.261950+00:00,Test whether the local decision change reduces full-task time,Rank both orders of the valid probe pair,d65bd34802cf4c1df2a8864a53dcf3d2299b9730fc9be195cf891afaa102b420,D_orders.json,development,400031-400060,"python code/experiment.py --phase D_local_decisions_dev30 --variants {""E_combo"": ""E_combo.json"", ""history"": ""D_history.json"", ""orders"": ""D_orders.json"", ""replan"": ""D_replan.json"", ""opt40"": ""D_opt40.json""} --start 400031 --count 30 --role development","{""phase"": ""D_local_decisions_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""orders"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 467.3043788899327, ""improvement_percent"": -0.7324398655829599, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6874.037595749999, ""p95_change_percent"": 1.1698219791308029, ""bootstrap_improvement_95_percent"": [-2.170707789361205, 0.5596033400764331], ""faster"": 17, ""slower"": 12, ""gate_passed"": false}",rejected: development improvement below 1 percent
D_local_decisions_dev30_replan,2026-09-12T10:02:58.290601+00:00,Test whether the local decision change reduces full-task time,Return to global planning after first direction,d65bd34802cf4c1df2a8864a53dcf3d2299b9730fc9be195cf891afaa102b420,D_replan.json,development,400031-400060,"python code/experiment.py --phase D_local_decisions_dev30 --variants {""E_combo"": ""E_combo.json"", ""history"": ""D_history.json"", ""orders"": ""D_orders.json"", ""replan"": ""D_replan.json"", ""opt40"": ""D_opt40.json""} --start 400031 --count 30 --role development","{""phase"": ""D_local_decisions_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""replan"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 460.61069338056126, ""improvement_percent"": 0.710455393934176, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6872.3410998, ""p95_change_percent"": 1.1448535103293134, ""bootstrap_improvement_95_percent"": [-0.839542225333639, 2.407690962051453], ""faster"": 19, ""slower"": 11, ""gate_passed"": false}",rejected: development improvement below 1 percent
D_local_decisions_dev30_opt40,2026-09-12T10:02:58.307174+00:00,Test whether the local decision change reduces full-task time,Add explicit optical trial at MEC radius 20 to 40,d65bd34802cf4c1df2a8864a53dcf3d2299b9730fc9be195cf891afaa102b420,D_opt40.json,development,400031-400060,"python code/experiment.py --phase D_local_decisions_dev30 --variants {""E_combo"": ""E_combo.json"", ""history"": ""D_history.json"", ""orders"": ""D_orders.json"", ""replan"": ""D_replan.json"", ""opt40"": ""D_opt40.json""} --start 400031 --count 30 --role development","{""phase"": ""D_local_decisions_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""opt40"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 466.1904790014563, ""improvement_percent"": -0.4923268715665765, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6865.567725649999, ""p95_change_percent"": 1.045165219800137, ""bootstrap_improvement_95_percent"": [-2.008277542713113, 1.2201621263106301], ""faster"": 13, ""slower"": 17, ""gate_passed"": false}",rejected: development improvement below 1 percent
